lakecode,lakename,lakeorriver,continent,country,state,latitude,longitude,elevation,mean_depth,max_depth,surface_area,shoreline,largest_city_population,power_plant_discharge,inlet_streams,area_drained,landuse_code,conductivity_us,secchi_depth,contributor,filename,initials,lat_decimal,lon_decimal,median_depth,comments
JJM2,BIG MUSKELLUNGE LAKE,L,N,UNITED STATES,WI,46 01,89 37,500.3,7.5,21.3,3.963,-999,-999,N,N,-999,F,49,6.7,MAGNUSON,JJM,JJM,46.02,-89.62,-999,-999
JJM20,LITTLE LAKE (BRADLEY),L,N,UNITED STATES,WI,44 55,87 17,-999,-999,1.83,0.1,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,44.92,-87.28,-999,-999
JJM21,ROCK LAKE,L,N,UNITED STATES,WI,43 04,88 55,252.07,4.88,-999,5.55,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,43.07,-88.92,-999,Legend has it that when an individual can paddle a canoe around Rock Lake 10 feet from shore; the lake is considered officially open.
JJM22,SHELL LAKE,L,N,UNITED STATES,WI,45 44,91 54,370.94,7.01,-999,10.45,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,45.73,-91.9,-999,-999
JJM23,SPRUCE LAKE,L,N,UNITED STATES,WI,46 03,89 34,506.58,-999,-999,0.06,-999,-999,-,-,-999,-999,-999,2.59,MAGNUSON,JJM,JJM,46.05,-89.57,-999,-999
JJM24,BIG GREEN LAKE,L,N,UNITED STATES,WI,43 48,89,242.93,31.7,-999,29.65,-999,-999,-,-,-999,-999,-999,6.4,MAGNUSON,JJM,JJM,43.8,-89,-999,-999
JJM25,BLACK OTTER LAKE,L,N,UNITED STATES,WI,44.333,88.637,240.18,-999,2.7,0.3,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,44.33,-88.64,-999,-999
JJM26,DEVILS LAKE,L,N,UNITED STATES,WI,43 25,89 44,293.52,9.14,-999,1.51,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,43.42,-89.73,-999,-999
JJM27,LAKE GENEVA,L,N,UNITED STATES,WI,42.57,88.5,263.35,18.59,-999,20.66,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,42.57,-88.5,-999,-999
JJM28,MAPLE LAKE,L,N,UNITED STATES,WI,46 08,89 44,497.74,-999,-999,0.19,-999,-999,-,-,-999,-999,-999,3.2,MAGNUSON,JJM,JJM,46.13,-89.73,-999,-999
JJM29,CHEQUAMEGON BAY,L,N,UNITED STATES,WI,46.6,90.89,182.88,7,23,-999,-999,-999,N,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,46.6,-90.89,-999,Off Ashland at Chequamegon Hotel
JJM3,CRYSTAL BOG,L,N,UNITED STATES,WI,46 00,89 36,502,1.7,2.5,0.005,-999,-999,N,N,-999,F,11,1.6,MAGNUSON,JJM,JJM,46,-89.6,-999,-999
JJM30,LAKE SUPERIOR AT MADELINE ISLAND,L,N,UNITED STATES,WI,46.79,90.81,183.5,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,46.79,-90.81,-999,Ferry route to Madeline Island
JJM31,ANVIL LAKE,L,N,UNITED STATES,WI,45.94,89 3 55,516.6,5.79,9.75,1.6,7.79,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,45.94,-89.07,-999,-999
JJM32,CHEQUAMEGON BAY,L,N,UNITED STATES,WI,46.6,90.89,182.88,7,23,-999,-999,-999,N,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,46.6,-90.89,-999,Off Ashland
JJM33,LAKE SUPERIOR AT BAYFIELD,L,N,UNITED STATES,WI,46.81,90.81,182.88,-999,-999,-999,-999,-999,-,-,-999,-999,-999,-999,MAGNUSON,JJM,JJM,46.81,-90.81,-999,Last boat to leave harbor in winter; first boat to leave harbor in spring. at Bayfield Harbor
JJM4,CRYSTAL LAKE,L,N,UNITED STATES,WI,46 00,89 37,502.1,10.4,20.4,0.367,-999,-999,N,N,-999,F,14,7.3,MAGNUSON,JJM,JJM,46,-89.62,-999,-999
JJM5,LITTLE ROCK LAKE,L,N,UNITED STATES,WI,46 00,89 42,495.61,-999,-999,0.15,-999,-999,N,N,-999,F,-999,4.88,MAGNUSON,JJM,JJM,46,-89.7,-999,-999
JJM6,SPARKLING LAKE,L,N,UNITED STATES,WI,46 00,89 42,494.8,10.9,20,0.64,-999,-999,N,N,-999,F,80,6.1,MAGNUSON,JJM,JJM,46,-89.7,-999,-999
